Date;Year;Month;GEO_Type;GEO_Name;Index_NSA;Index_SA_Not_Inflation_Adj;Index_SA;Inflation Factor (2023-12-Price)
01-01-1975;1975;1;State;AK;34,34694976;34,54518837;203,9302208;5,903
02-01-1975;1975;2;State;AK;34,90974611;35,06897922;205,8415738;5,870
03-01-1975;1975;3;State;AK;35,48468682;35,52717044;207,741092;5,847
04-01-1975;1975;4;State;AK;36,07708702;35,96701599;209,5194047;5,825
05-01-1975;1975;5;State;AK;36,7184906;36,42978812;211,8155489;5,814
06-01-1975;1975;6;State;AK;37,40856919;36,90981051;213,0020321;5,771
07-01-1975;1975;7;State;AK;38,09472312;37,43221544;214,0166122;5,717
08-01-1975;1975;8;State;AK;38,71058022;38,02464942;216,6015924;5,696
09-01-1975;1975;9;State;AK;39,23049772;38,69618021;218,812016;5,655
10-01-1975;1975;10;State;AK;39,67679117;39,38370173;221,4827475;5,624
11-01-1975;1975;11;State;AK;40,05525327;40,04588074;223,5776729;5,583
12-01-1975;1975;12;State;AK;40,35266585;40,51454386;224,9737644;5,553
01-01-1976;1976;1;State;AK;40,57285454;40,8070269;225,7857186;5,533
02-01-1976;1976;2;State;AK;40,7495179;40,9353878;226,0907603;5,523
03-01-1976;1976;3;State;AK;40,91578558;40,96477151;225,8490265;5,513
04-01-1976;1976;4;State;AK;41,08467138;40,95932219;225,4164537;5,503
05-01-1976;1976;5;State;AK;41,25917398;40,93476991;224,0830271;5,474
06-01-1976;1976;6;State;AK;41,43728867;40,88481616;222,6253953;5,445
07-01-1976;1976;7;State;AK;41,60170168;40,87820393;221,4178673;5,417
08-01-1976;1976;8;State;AK;41,74782267;41,00807356;220,9583708;5,388
09-01-1976;1976;9;State;AK;41,92986885;41,35878609;221,6874016;5,360
10-01-1976;1976;10;State;AK;42,1898714;41,87821798;223,3085454;5,332
11-01-1976;1976;11;State;AK;42,52466825;42,51471795;225,9221867;5,314
12-01-1976;1976;12;State;AK;42,93313085;43,10536064;227,8841653;5,287
01-01-1977;1977;1;State;AK;43,38862444;43,63904846;229,5265264;5,260
02-01-1977;1977;2;State;AK;43,83380942;44,03374768;229,2591455;5,206
03-01-1977;1977;3;State;AK;44,2100824;44,26301239;229,2928015;5,180
04-01-1977;1977;4;State;AK;44,51124705;44,37544337;228,342719;5,146
05-01-1977;1977;5;State;AK;44,77639279;44,42433432;227,8348476;5,129
06-01-1977;1977;6;State;AK;45,03329837;44,43288119;226,7487042;5,103
07-01-1977;1977;7;State;AK;45,30770641;44,51975728;226,0710346;5,078
08-01-1977;1977;8;State;AK;45,58108548;44,77341303;226,2427673;5,053
09-01-1977;1977;9;State;AK;45,81558592;45,19157988;227,6107464;5,037
10-01-1977;1977;10;State;AK;46,02384368;45,68386907;228,9696283;5,012
11-01-1977;1977;11;State;AK;46,25456221;46,24373914;230,2803953;4,980
12-01-1977;1977;12;State;AK;46,55485816;46,7416169;231,6388489;4,956
01-01-1978;1978;1;State;AK;46,93038573;47,20125153;232,4243828;4,924
02-01-1978;1978;2;State;AK;47,41065093;47,62690416;233,4035817;4,901
03-01-1978;1978;3;State;AK;48,03502664;48,09253595;234,1985132;4,870
04-01-1978;1978;4;State;AK;48,73453956;48,58585068;234,7494947;4,832
05-01-1978;1978;5;State;AK;49,4137205;49,0252006;234,6688137;4,787
06-01-1978;1978;6;State;AK;49,9833391;49,31692436;234,2493209;4,750
07-01-1978;1978;7;State;AK;50,35777761;49,48200241;233,2392731;4,714
08-01-1978;1978;8;State;AK;50,56261252;49,66667005;232,688726;4,685
09-01-1978;1978;9;State;AK;50,74097786;50,04988819;232,3684599;4,643
10-01-1978;1978;10;State;AK;51,02223079;50,64533344;233,0304253;4,601
11-01-1978;1978;11;State;AK;51,44850311;51,43646474;235,2681036;4,574
12-01-1978;1978;12;State;AK;52,0114502;52,22009841;237,4453258;4,547
01-01-1979;1979;1;State;AK;52,67815125;52,98219117;238,8004039;4,507
02-01-1979;1979;2;State;AK;53,4669901;53,71086798;239,6358497;4,462
03-01-1979;1979;3;State;AK;54,44330171;54,50848333;240,7590581;4,417
04-01-1979;1979;4;State;AK;55,55411933;55,38462381;242,2033927;4,373
05-01-1979;1979;5;State;AK;56,54275513;56,09818258;242,5751413;4,324
06-01-1979;1979;6;State;AK;57,12637781;56,36472676;241,0271256;4,276
07-01-1979;1979;7;State;AK;57,26512661;56,26922521;237,9818237;4,229
08-01-1979;1979;8;State;AK;57,12904965;56,11675338;235,0827499;4,189
09-01-1979;1979;9;State;AK;56,91582503;56,14063423;232,9700496;4,150
10-01-1979;1979;10;State;AK;56,78310224;56,36364974;231,40726;4,106
11-01-1979;1979;11;State;AK;56,80534296;56,79205118;230,7117298;4,062
12-01-1979;1979;12;State;AK;56,96877202;57,19730704;229,6386342;4,015
01-01-1980;1980;1;State;AK;57,19851403;57,52864392;227,7116485;3,958
02-01-1980;1980;2;State;AK;57,41045696;57,67232212;225,3907351;3,908
03-01-1980;1980;3;State;AK;57,5503628;57,61926437;222,0909728;3,854
04-01-1980;1980;4;State;AK;57,63393262;57,45809174;219,2796806;3,816
05-01-1980;1980;5;State;AK;57,72911166;57,2752112;216,4414107;3,779
06-01-1980;1980;6;State;AK;57,89622338;57,12430814;213,7778563;3,742
